Aktivitetstype,Dato,Favorit,Titel,Distance,Kalorier,Tid,Gennemsnitlig puls,Maks. puls,Aerob TE,Gennemsnitlig svømmekadence,Maksimum svømmekadence,Gennemsnitstempo,Bedste tempo,Samlet stigning,Samlet nedstigning,Gennemsnitlig skridtlængde,Gennemsnitligt vertikalt forhold,Gennemsnitligt vertikalt udsving,Gennemsnitlig kontakt med jorden,Gennemsnitlig GCT-balance,Gennemsnitlig NJT,Normalized Power® (NP®),Training Stress Score®,Gennemsnitlig effekt,Maksimal effekt,Samlet antal svømmetag,Gennemsnitlig swolf,Gennemsnitlig hastighed for tag,Skridt,Samlet antal sæt,Afladning af Body Battery,Minimum temperatur,Dekompression,Tid for bedste omgang,Antal omgange,Maksimum temperatur,Gns. antal åndedrag,Min. antal åndedrag,Maks. antal åndedrag,Tid i bevægelse,Tidsforbrug,Minimum højde,Maksimal højde
Svøm i pool,2025-09-24 19:32:53,false,"Svøm i pool","1,250","486","0:42","138","160","2.5","--","--","2:48","1:36","--","--","--","--","--","--","--","--","--","0.0","--","--","845","59","24","--","--","--","--","Nej","00:00:05.5","28","--","--","--","--","00:34:57","00:42:46","--","--"
Styrketræning,2025-09-24 06:26:16,false,"Styrke","0.00","367","1:12","102","152","0.7","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","18","-8","--","Nej","01:11:02","1","--","20","13","33","00:38:37","01:11:02","--","--"
Løb,2025-09-23 15:21:15,false,"Aarhus - Basis","5.90","471","0:35","150","166","3.0","163","179","5:51","4:29","13","10","1.05","10.9","11.7","269","51.7% V / 48.3% H","5:51","383","0.0","382","505","--","--","--","5,578","--","-6","--","Nej","00:05:06.1","2","--","32","18","38","00:34:25","00:34:26","-2","7"
Cykling på grusveje,2025-09-22 15:23:29,false,"Skanderborg Cykling på grusveje/ikke brolagte veje","12.62","427","0:33","145","167","3.0","--","--","23.3","49.8","113","105","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","-7","--","Nej","00:07:13.7","3","--","32","21","43","00:32:23","00:32:29","39","84"
Styrketræning,2025-09-22 06:14:30,false,"Styrke","0.00","250","0:52","98","136","0.3","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","7","-7","--","Nej","00:51:47","1","--","20","12","27","00:36:46","00:51:47","--","--"
Svøm i pool,2025-09-21 10:20:57,false,"Svøm i pool","1,050","365","0:37","129","172","2.2","--","--","2:21","0:58","--","--","--","--","--","--","--","--","--","0.0","--","--","652","51","26","--","--","--","--","Nej","00:00:05.3","24","--","--","--","--","00:24:42","00:38:27","--","--"
Cykling på grusveje,2025-09-20 07:58:10,false,"Skanderborg Cykling på grusveje/ikke brolagte veje","25.01","820","1:05","147","172","3.4","--","--","23.1","48.6","183","181","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","-18","--","Nej","00:00:01.9","6","--","32","24","40","01:04:00","01:05:25","2","55"
Styrketræning,2025-09-19 13:11:48,false,"Styrke","0.00","324","0:51","110","159","1.2","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","1","-6","--","Nej","00:50:22","1","--","21","12","33","00:50:22","00:50:22","--","--"
Løb,2025-09-16 15:24:58,false,"Aarhus - Basis","5.86","487","0:35","160","181","3.1","169","181","5:48","4:44","52","54","1.02","10.5","10.9","262","51.4% V / 48.6% H","5:51","384","0.0","384","808","--","--","--","5,686","--","-6","--","Nej","00:04:56.0","2","--","36","16","46","00:34:00","00:34:01","-4","4"
Styrketræning,2025-09-15 15:17:04,false,"Styrke","0.00","270","0:53","102","146","0.5","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","1","-3","--","Nej","00:52:20","1","--","20","11","32","00:52:20","00:52:20","--","--"
Gang,2025-09-14 14:39:09,false,"Hillerød Gang","2.01","129","0:28","77","89","0.2","91","156","13:34","5:02","12","9","0.81","--","--","--","--","--","--","0.0","--","--","--","--","--","2,594","--","-1","--","Nej","00:00:04.8","3","--","--","--","--","00:25:02","00:27:14","25","35"
Løb,2025-09-13 10:47:20,false,"Allerød - Langt løb","3.76","298","0:25","143","156","2.1","163","183","6:32","5:08","16","12","0.94","10.9","10.4","290","51.8% V / 48.3% H","6:31","349","0.0","337","480","--","--","--","3,948","--","-5","--","Nej","00:24:33","1","--","32","15","40","00:24:33","00:24:33","43","54"
Gang,2025-09-12 13:40:23,false,"Allerød Gang","0.52","34","0:13","71","85","0.0","46","160","23:26","9:59","5","1","0.93","--","--","--","--","--","--","0.0","--","--","--","--","--","754","--","-1","--","Nej","00:12:18","1","--","--","--","--","00:06:51","00:22:55","55","60"
Styrketræning,2025-09-11 15:56:54,false,"Styrke","0.00","209","1:02","88","130","0.2","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","1","-5","--","Nej","01:01:29","1","--","16","11","29","01:01:29","01:01:29","--","--"
Gang,2025-09-09 19:10:46,false,"Skanderborg Gang","0.41","28","0:07","77","93","0.0","54","125","16:37","12:56","3","--","1.11","--","--","--","--","--","--","0.0","--","--","--","--","--","448","--","--","--","Nej","00:06:49.4","1","--","--","--","--","00:06:35","00:06:49.4","44","48"
Løb,2025-09-06 09:30:03,false,"Morsø Løb","161.97","12,420","23:00","140","180","5.0","136","255","8:31","4:18","1,273","1,273","0.86","9.5","8.4","355","50.5% V / 49.5% H","8:28","281","0.0","232","488","--","--","--","185,080","--","-48","--","Nej","00:15:05","33","--","30","12","49","21:18:31","22:59:35","-2","93"
